epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14146,1.02673,2.25813,1.53707,0.00333,1,0.55693,0.38348,0.81904,3.45057,1.46916,0.00036,0.00036,0.00036
2,8.34126,0.90779,1.41649,1.4333,0.46562,0.66667,0.55623,0.32271,1.62149,3.55655,2.09496,0.000732674,0.000732674,0.000732674
3,11.5915,0.94386,1.34795,1.46851,0.60329,0.53991,0.55624,0.38042,1.82234,3.60594,2.10619,0.00109782,0.00109782,0.00109782
4,14.7769,0.96484,1.22988,1.47147,0.00111,0.33333,0.03082,0.00324,3.09398,5.16137,2.62659,0.00145545,0.00145545,0.00145545
5,18.1932,1.00158,1.25851,1.49187,0.30601,0.33333,0.11405,0.10164,2.30288,3.30792,2.35974,0.00180555,0.00180555,0.00180555
6,21.6462,0.97122,1.21037,1.46278,0.8858,0.33333,0.41709,0.30916,1.45443,2.94998,1.81707,0.001901,0.001901,0.001901
7,25.1064,0.92859,1.11767,1.43221,0.67063,0.66667,0.66537,0.5323,1.10316,3.19758,1.6919,0.0018812,0.0018812,0.0018812
8,28.6728,0.90907,1.04112,1.40123,0.23982,0.33333,0.13912,0.09519,1.25843,3.77297,1.97459,0.0018614,0.0018614,0.0018614
9,32.3751,0.94409,0.99248,1.41626,0.79097,0.33333,0.43051,0.29457,1.58747,3.45239,1.82857,0.0018416,0.0018416,0.0018416
10,35.7409,0.87656,0.92592,1.35606,0.95515,0.33333,0.37758,0.24343,1.94141,2.85527,2.26449,0.0018218,0.0018218,0.0018218
11,39.0149,0.87822,0.9345,1.37221,1,0.63433,0.66625,0.33583,1.74224,2.37084,2.53234,0.001802,0.001802,0.001802
12,42.2636,0.95619,0.93515,1.43225,0.97273,0.66667,0.67638,0.55038,1.28189,1.90383,1.99437,0.0017822,0.0017822,0.0017822
13,45.417,0.89497,0.86322,1.36228,0.8832,0.66667,0.698,0.371,1.69405,2.79606,2.34718,0.0017624,0.0017624,0.0017624
14,48.5821,0.86007,0.82821,1.34832,0.62935,0.66667,0.5554,0.36652,1.17336,2.62052,1.63125,0.0017426,0.0017426,0.0017426
15,51.7369,0.82074,0.82851,1.32159,0.49114,0.66667,0.50117,0.35915,1.38316,2.19335,1.94369,0.0017228,0.0017228,0.0017228
16,54.9251,0.88572,0.85399,1.38532,0.96443,0.66667,0.6654,0.59939,0.92508,1.56745,1.47602,0.001703,0.001703,0.001703
17,58.1717,0.79778,0.75546,1.30261,0.97261,0.66667,0.775,0.53219,1.18992,1.49868,1.76155,0.0016832,0.0016832,0.0016832
18,61.4012,0.87827,0.7615,1.36006,0.95032,0.66667,0.78875,0.56931,1.18517,1.48546,1.53875,0.0016634,0.0016634,0.0016634
19,64.665,0.88565,0.77654,1.35344,0.74686,0.98743,0.9125,0.60739,1.31391,1.48349,1.55101,0.0016436,0.0016436,0.0016436
20,67.9754,0.79607,0.71793,1.32035,0.94759,0.66667,0.80643,0.57498,1.3225,1.49134,1.44772,0.0016238,0.0016238,0.0016238
21,71.1873,0.78315,0.65377,1.28379,0.87532,0.66667,0.863,0.59285,1.51936,1.75362,1.56462,0.001604,0.001604,0.001604
22,74.3648,0.80685,0.68347,1.30324,0.95202,0.66667,0.863,0.6582,1.12823,1.04425,1.37538,0.0015842,0.0015842,0.0015842
23,77.6049,0.83075,0.70187,1.33409,0.93905,0.33333,0.46744,0.36789,1.27996,2.15144,1.82526,0.0015644,0.0015644,0.0015644
24,80.8652,0.7586,0.65428,1.27188,0.85416,0.33333,0.46745,0.36791,1.25737,2.13904,1.84289,0.0015446,0.0015446,0.0015446
25,84.1953,0.80155,0.68495,1.31633,0.98191,0.66667,0.66637,0.599,0.78114,1.11958,1.3225,0.0015248,0.0015248,0.0015248
26,87.3593,0.75027,0.6482,1.27904,0.98008,0.66667,0.66549,0.53239,1.11613,1.35132,1.7874,0.001505,0.001505,0.001505
27,90.5717,0.76496,0.6479,1.2733,0.97452,0.66667,0.66551,0.48265,1.22157,1.58064,1.73481,0.0014852,0.0014852,0.0014852
28,93.7662,0.68072,0.59165,1.23982,0.93193,0.66667,0.66554,0.54923,1.14519,1.66882,1.64434,0.0014654,0.0014654,0.0014654
29,96.9473,0.71824,0.55397,1.23242,0.96925,0.66667,0.66754,0.53263,1.3353,1.57068,1.87049,0.0014456,0.0014456,0.0014456
30,100.165,0.73696,0.57913,1.22683,0.9751,0.66667,0.66658,0.49955,1.37476,1.5477,1.7634,0.0014258,0.0014258,0.0014258
31,103.395,0.70771,0.56607,1.23101,0.98041,0.66667,0.66542,0.53234,1.32244,1.79617,1.8516,0.001406,0.001406,0.001406
32,106.619,0.72209,0.58397,1.2365,0.99159,0.66667,0.66539,0.46577,1.61281,1.95172,2.11651,0.0013862,0.0013862,0.0013862
33,109.93,0.66831,0.55742,1.21215,0.97176,0.66667,0.66538,0.43276,1.51051,1.68889,2.02464,0.0013664,0.0013664,0.0013664
34,113.206,0.67803,0.51663,1.20709,0.97463,0.66667,0.66537,0.43276,1.55677,2.02551,1.95124,0.0013466,0.0013466,0.0013466
35,116.53,0.70399,0.56303,1.23215,0.97381,0.66667,0.66541,0.59887,1.01096,1.29315,1.58272,0.0013268,0.0013268,0.0013268
36,119.796,0.6747,0.55417,1.19125,0.73051,0.66667,0.69105,0.50204,1.35016,1.92053,1.84178,0.001307,0.001307,0.001307
37,123.107,0.70581,0.57238,1.23874,0.97562,0.66667,0.66579,0.56621,1.09087,1.44739,1.74917,0.0012872,0.0012872,0.0012872
38,126.415,0.72413,0.54583,1.21942,0.97966,0.66667,0.66606,0.56645,0.91726,1.24458,1.27404,0.0012674,0.0012674,0.0012674
39,129.728,0.70529,0.56366,1.24162,0.97774,0.66667,0.66632,0.54994,1.05589,1.4016,1.44132,0.0012476,0.0012476,0.0012476
40,132.987,0.64186,0.53459,1.17393,0.98115,0.66667,0.66616,0.5498,0.90145,1.04525,1.3433,0.0012278,0.0012278,0.0012278
41,136.283,0.6739,0.52251,1.20197,0.98066,0.66667,0.66629,0.60029,0.82156,0.89269,1.29536,0.001208,0.001208,0.001208
42,139.589,0.66056,0.52507,1.2158,0.98141,0.66667,0.66622,0.5336,0.95232,1.10371,1.41833,0.0011882,0.0011882,0.0011882
43,142.899,0.63698,0.52681,1.18559,0.98081,0.66667,0.66609,0.56648,0.92787,1.15689,1.45166,0.0011684,0.0011684,0.0011684
44,146.146,0.61761,0.46015,1.15498,0.97657,0.66667,0.66639,0.56675,1.04308,1.20923,1.6509,0.0011486,0.0011486,0.0011486
45,149.437,0.63941,0.50834,1.16784,0.96987,0.66667,0.6664,0.50012,1.09302,1.27272,1.60589,0.0011288,0.0011288,0.0011288
46,152.615,0.60202,0.47193,1.16577,0.97741,0.66667,0.6662,0.54983,1.08125,1.13772,1.78623,0.001109,0.001109,0.001109
47,155.829,0.59504,0.45371,1.17429,0.98167,0.66667,0.66652,0.53322,1.25324,1.11373,1.95424,0.0010892,0.0010892,0.0010892
48,159.085,0.60902,0.46267,1.14524,0.97726,0.66667,0.66638,0.5331,1.23683,1.06503,1.97996,0.0010694,0.0010694,0.0010694
49,162.388,0.62252,0.4593,1.18723,0.94416,0.66667,0.66592,0.54958,0.84177,1.0496,1.34446,0.0010496,0.0010496,0.0010496
50,165.616,0.59561,0.47724,1.1494,0.95524,0.66667,0.80643,0.6416,1.04881,1.30974,1.2716,0.0010298,0.0010298,0.0010298
51,168.875,0.59736,0.46488,1.13956,0.97718,0.66667,0.70308,0.56176,1.0066,1.28651,1.29625,0.00101,0.00101,0.00101
52,172.187,0.61626,0.51183,1.1349,0.98151,0.66667,0.66781,0.53424,1.04451,1.3616,1.34625,0.0009902,0.0009902,0.0009902
53,175.502,0.5871,0.47094,1.15529,0.9803,0.66667,0.66801,0.55145,1.03761,1.15445,1.31338,0.0009704,0.0009704,0.0009704
54,178.739,0.58092,0.45237,1.14109,0.98063,0.66667,0.66765,0.56814,0.90221,1.12555,1.23569,0.0009506,0.0009506,0.0009506
55,181.997,0.58589,0.43553,1.14439,0.98085,0.66667,0.66801,0.5682,0.93353,1.02335,1.38561,0.0009308,0.0009308,0.0009308
56,185.262,0.54897,0.42613,1.13642,0.9813,0.66667,0.67443,0.57263,0.92265,1.13902,1.48853,0.000911,0.000911,0.000911
57,188.512,0.54992,0.397,1.08307,0.98188,0.66667,0.66833,0.53549,1.14133,1.50569,1.6429,0.0008912,0.0008912,0.0008912
58,191.778,0.55095,0.42574,1.1347,0.98214,0.66667,0.695,0.58179,1.03286,1.05644,1.43615,0.0008714,0.0008714,0.0008714
59,195.14,0.53776,0.41964,1.13358,0.98185,0.66667,0.72,0.58869,1.01474,0.97144,1.33486,0.0008516,0.0008516,0.0008516
60,198.467,0.53055,0.40744,1.11261,0.98182,0.66667,0.70804,0.5795,1.13889,1.03232,1.54029,0.0008318,0.0008318,0.0008318
61,201.855,0.54719,0.42237,1.13749,0.98165,0.66667,0.68023,0.53882,1.22181,1.18867,1.6177,0.000812,0.000812,0.000812
62,205.232,0.55666,0.44709,1.11231,0.98124,0.66667,0.68441,0.50755,1.30384,1.2242,1.65472,0.0007922,0.0007922,0.0007922
63,208.521,0.56531,0.40372,1.14048,0.98084,0.66667,0.83,0.615,1.12999,0.88563,1.60787,0.0007724,0.0007724,0.0007724
64,211.787,0.525,0.42683,1.0914,0.98123,0.66667,0.83,0.61512,0.92616,0.78089,1.43483,0.0007526,0.0007526,0.0007526
65,215.157,0.54221,0.39807,1.09931,0.98119,0.66667,0.69176,0.61259,0.87461,0.86517,1.23651,0.0007328,0.0007328,0.0007328
66,218.447,0.54321,0.39809,1.11222,0.97963,0.66667,0.71214,0.57289,0.97424,0.95688,1.35047,0.000713,0.000713,0.000713
67,221.69,0.51347,0.40045,1.07058,0.97636,0.66667,0.775,0.60421,1.08462,0.92161,1.50626,0.0006932,0.0006932,0.0006932
68,225.131,0.46537,0.37943,1.06039,0.97736,0.66667,0.69176,0.57681,1.07747,1.04763,1.39115,0.0006734,0.0006734,0.0006734
69,228.468,0.48056,0.37223,1.06193,0.97706,0.66667,0.69594,0.61456,1.02387,1.01761,1.42493,0.0006536,0.0006536,0.0006536
70,231.809,0.50313,0.38105,1.07799,0.97074,0.66667,0.764,0.57215,1.00885,0.87559,1.46169,0.0006338,0.0006338,0.0006338
71,235.148,0.48745,0.37621,1.09083,0.97221,0.66667,0.68441,0.57324,1.09534,1.13317,1.3968,0.000614,0.000614,0.000614
72,238.473,0.48576,0.38869,1.07253,0.97698,0.66667,0.67151,0.56981,0.98514,0.91489,1.42739,0.0005942,0.0005942,0.0005942
73,241.877,0.49211,0.37814,1.07379,0.9787,0.66667,0.67679,0.55252,0.99249,0.89925,1.44605,0.0005744,0.0005744,0.0005744
74,245.116,0.473,0.36749,1.08742,0.97851,0.66667,0.68237,0.55465,0.99334,0.95138,1.39587,0.0005546,0.0005546,0.0005546
75,248.422,0.4672,0.36742,1.05115,0.97822,0.66667,0.67803,0.55295,1.02492,1.01884,1.41471,0.0005348,0.0005348,0.0005348
76,251.753,0.47641,0.37686,1.0658,0.97559,0.66667,0.70308,0.5742,1.19934,1.14414,1.46018,0.000515,0.000515,0.000515
77,255.004,0.46409,0.36806,1.08768,0.96885,0.66667,0.83,0.61657,1.16084,0.92965,1.42675,0.0004952,0.0004952,0.0004952
78,258.277,0.48531,0.36718,1.09004,0.96478,0.66667,0.863,0.60937,1.16091,0.77846,1.51056,0.0004754,0.0004754,0.0004754
79,261.583,0.45675,0.35205,1.0249,0.74611,0.98442,0.9125,0.59899,1.23246,0.7324,1.81715,0.0004556,0.0004556,0.0004556
80,265.002,0.45994,0.33934,1.06678,0.73951,0.95806,0.9125,0.63205,1.21095,0.71875,1.74267,0.0004358,0.0004358,0.0004358
81,268.403,0.47786,0.35392,1.07883,0.95499,0.66667,0.863,0.64631,1.06442,0.7549,1.37746,0.000416,0.000416,0.000416
82,271.746,0.49332,0.36456,1.05624,0.95884,0.66667,0.863,0.64694,1.07252,0.72563,1.41412,0.0003962,0.0003962,0.0003962
83,275.048,0.45383,0.35903,1.05205,0.74225,0.96899,0.9125,0.6328,1.11554,0.66565,1.53986,0.0003764,0.0003764,0.0003764
84,278.367,0.45967,0.34349,1.05184,0.74518,1,0.9125,0.69122,1.03391,0.61557,1.42766,0.0003566,0.0003566,0.0003566
85,281.675,0.41527,0.34019,1.06402,0.73088,1,0.9125,0.67427,1.07567,0.62574,1.46218,0.0003368,0.0003368,0.0003368
86,284.993,0.43722,0.34556,1.04259,0.7451,1,0.9125,0.59986,1.07503,0.61856,1.47304,0.000317,0.000317,0.000317
87,288.32,0.44502,0.35443,1.05315,1,0.98123,0.995,0.63299,1.11505,0.63371,1.52287,0.0002972,0.0002972,0.0002972
88,291.659,0.42683,0.33145,1.04487,1,0.98237,0.995,0.66549,1.1139,0.63882,1.50387,0.0002774,0.0002774,0.0002774
89,294.887,0.42494,0.33675,1.03487,1,0.98097,0.995,0.73178,1.06927,0.62054,1.41937,0.0002576,0.0002576,0.0002576
